zh_duty,zh_name,zh_require,zh_type
"负责政府、战略合作伙伴、各地合作伙伴的拓展及深度合作的攻坚； 
负责区域级政府关系，根据腾讯云产品能力、生态，结合行业特性，策划及推动省级企业上云业务，并达成标杆项目的合作落地； 
配合一线销售，拓展区域级战略合作伙伴，并实现销售落地。",25667-腾讯云战略BD（北京）,"5年以上To B工作经验，有政府合作经验及渠道管理经验优先；
IT及云产品方面的知识储备；对于云计算、大数据、AI等有清晰的了解和认识，对于行业领域的技术和方案要有较好的理解和学习能力； 
突破能力及沟通能力强，以结果为导向，协调公司内部多个部门及团队共同完成省级企业上云落地；
思维逻辑清晰，敏锐的市场洞察力，强自我驱动力和执行力； 
有较强的抗压能力，并能够适应较为频繁的出差。",销售、服务与支持
"负责手机QQ浏览器搜索相关产品的UI实现（web、hippy）；
负责手机QQ浏览器搜索相关的管理平台的前后端实现（web、nodejs接入层）；
负责手机QQ浏览器搜索相关的运营活动、小程序的实现；",PCG10-QQ浏览器Web前端开发工程师（全栈）,"本科及以上学历，1年以上开发经验；
熟悉http协议、web标准、javascript；
熟悉常用js框架及打包工具（react、vue、webpack等）；
学习能力强，拥有良好的逻辑思维能力；
对前端有浓厚的热情，紧跟技术潮流，良好的沟通能力，工作积极主动，愿意接受挑战；
熟悉mysql，有后端开发经验者优先(如nodejs);",技术
"与日本顶尖公司洽谈游戏引进以及落地合作内容；
从合作签署开始到项目落地、本地化优化以及上线后等全程项目跟进；
监测符合国内玩家的日本游戏，发现更多合作机会；
并且保证与国内团队保持完美配合，促进更多优秀日本游戏的国内落地；
负责两岸会议现场翻译以及项目方案翻译等工作。",33676-日本商务经理（深圳）,"3年以上工作经验，日语母语水平，留学经验&日本企业工作经验者优先；
热爱游戏，并且拥有游戏行业工作经验者优先；
具有较强的商业洞察力，出色的沟通能力和团队协作能力；
本科以上学历；
能适应较大工作压力和强度，具有创业精神人才。",销售、服务与支持
"负责腾讯应用宝商业化相关后台开发相关工作；
参与产品架构设计。",27092-应用宝后台开发高级工程师（深圳）,"有Unix/Linux操作系统下的C/C++项目的3年以上开发经验；
熟悉网络编程；熟悉Linux下的mysql开发；
精通TCP/IP协议及编程，熟悉互联网应用协议；
熟悉面向对象的大型分布式系统设计与开发，了解中间件的技术以及基于中间件的开发模式；
全面的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
责任心强，良好的对外沟通和团队协作能力，主动，好学；",技术
"负责分布式存储相关方向的技术的规划及相关人员指导； 
负责腾讯云对象存储服务的架构设计和研发；
负责腾讯云对象存储服务的架构优化；",TEG09-云存储高级研发工程师（深圳总部）,"精通Linux/Unix平台上的C/C++编程；  
熟悉常用的算法和数据结构； 
熟悉网络编程，多线程编程技术，并且具备丰富的后台研发项目经验；  
熟悉存储设备、文件系统、 Linux操作系统原理；   
富有激情和创造力，学习能力强，良好的沟通能力和团队合作能力； 
优秀的分析问题和解决问题的能力，勇于接受挑战。  
具有以下条件者优先：  
主导过企业私有云或公有云平台的实施和架构设计； 
熟悉分布式系统理论；    
有大规模分布式系统设计架构经验；   
有数据库存储引擎或NoSQL存储引擎开发经验；   
有业界大规模分布式系统经验，包括Hadoop、HDFS、Mongodb、Dynamodb、AWS-S3、GFS、BigTable等；  
对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力；  
开源社区的活跃贡献者。",技术
"1、深刻理解信息流内容产品，熟悉业界存在的各种搬运、抄袭等非原创行为，能够掌握和控制内容反作弊反欺诈业务的风险；
2、深入分析内容属性、用户行为等数据，熟悉视频、图像、文本的重复度解决方案，负责相应策略制定和评估、上线和迭代优化；
3、负责非原创相关的需求分析、产品规划与设计，与研发团队密切合作，对整体效果负责；",23671-企鹅号策略产品经理（非原创方向）,"1、2年以上内容策略产品或算法对接工作经验，理工科背景； 
2、目标导向，良好的沟通能力，拥有强烈的责任心和团队合作精神； 
3、数据分析能力强，以数据驱动产品迭代，能熟练运用数据处理工具，会写SQL为佳；
4、逻辑思维能力强，能快速提炼总结问题，并积极进行过程改进。",产品
"游戏新模式设计及现有模式优化（PVP/PVE模式，地图，AI，BOSS，各类事件等）；
各类相关设计方案和需求列表的编写；
模式具体开发中各项工作的决策和跟进，确保模式品质，组内沟通顺畅；
模式内各关卡的设计和搭建；
负责游戏模式的关卡设计和制作（PVP/PVE地图，AI，BOSS，各类事件等）：
使用2D绘图软件设计关卡；
使用U3D引擎搭建关卡、设计任务和事件；
跟进游戏关卡的后期制作，确保关卡品质；
跟进、分析统计数据，根据数据和反馈来制定后续优化方案并跟进具体开发。",15569-横板射击手游高级关卡策划（深圳）,"3年以上游戏关卡设计师或相关从业经验； 
热爱游戏，尤其是动作类或平台跳跃类游戏，有丰富的游戏体验，并且有深入的分析、理解；
具有良好的程序基础，能够使用行为树编写敌兵AI； 
有较强的文字表达能力，编写的方案要有较为严密的逻辑性和易读性； 
有基本的2D绘图软件使用能力，可用其设计关卡平面图； 
能熟练使用Unity制作关卡和相关内容； 
有良好的团队合作精神，较强的沟通能力，抗压能力强。",产品
"负责英雄玩法设计调整工作，包括但不限于英雄设计、英雄管线优化、新玩法研发、数据监控指标制定完善等；
负责有效协同世界观、程序、美术、运营等各方资源快速开发迭代，调整优化战斗对抗体验，并推动设计案落地；
负责持续完善英雄设计标准及方法论，在初期通过白膜快速验证玩法设计，关注用户反馈，重视总结改进。",15575-《王者荣耀》资深战斗策划（成都）,"至少3年以上的相关工作经验，有moba类游戏研发经验者优先；
能独立使用编辑器完成英雄以及怪物的制作，拥有各种游戏引擎（Unity，Unreal，Source等），设计工具使用以及制作流程经验者优先；
热爱moba游戏，有深入了解或研究过moba玩法，精通各类主流moba游戏者优先；
热爱游戏行业，具备较好的深度与广度，对多种类型的竞技对抗类游戏有深度理解和研究者优先；
有用户导向意识，具备优秀的自我驱动力、沟通能力、能够承担压力，有良好的合作意识。",产品
负责行情数据平台国际市场行情数据及相关app、公众号产品功能策划。,23486-腾讯证券行情高级产品经理（北京）,"1、3-5年以上工作经验，具备较高证券行情数据专业性；
2、熟悉上市公司行情及基本面数据管理，具备港美市场行情数据工作经验；
3、积极主动，具备项目管理及组织协调能力。",产品
负责行情数据平台国际市场行情数据及相关app、公众号产品功能策划。,23486-腾讯证券行情高级产品经理（深圳）,"1、3-5年以上工作经验，具备较高证券行情数据专业性；
2、熟悉上市公司行情及基本面数据管理，具备港美市场行情数据工作经验；
3、积极主动，具备项目管理及组织协调能力。",产品
"1.负责图像编辑与生成算法研究，包括但不限于：人脸属性编辑与生成，风格迁移，图像合成与融合等；
2.推动图像编辑与生成算法在实际应用领域的性能优化和落地；
3.提出和实现最前沿的算法，保持算法在工业界和学术界的领先。",20503-图像编辑与生成高级研究员（上海）,"1. 计算机相关专业，硕士及以上学历。精通图像处理、人脸相关理论和算法，尤其对活体检测有很好的研究积累和创新能力，对计算机视觉、计算机图形学有深入学习了解应用的优先；
2. 对机器学习、深度学习有较深理解和应用，能独立开展研发工作；
3. 极佳的工程实现能力，精通C/C++、Matlab、Python等至少一门语言；
4. 思维活跃，能快速学习新知识，对技术研发富有激情；
5. 拥有海外研发经历、国际顶尖学术论文，有人脸活体检测、视频编辑检测等实际项目经验者优先。",技术
"负责搜一搜相关内容运营系统及小程序开发
负责看一看相关内容运营系统及小程序开发",WXG08-112 搜索推荐运营开发工程师（深圳）,"计算机相关专业本科及以上学历，1年以上开发工作经验；
熟悉Unix/Linux操作系统；
熟悉Unix/Linux操作系统下的C/C++/Python开发；
熟悉TCP/IP网络编程，mysql数据库开发； 
熟悉vue等至少一种前端开发框架。
有js/css 等前端开发经验者优先；
有互联网运营平台开发和架构经验者优先；",技术
"•	Participate in Tencent Games investment projects to perform investment analysis and carry out project executions including but not limited to conducting due diligence, building financial models, performing valuation analysis, drafting investment reports, and providing investment recommendations;
•	Oversee trends of global game market with particular focus on R&D, distribution, operation and platform. Follow movements and next-steps of major competitors and important partners. Keep track of latest trends of game industry; 
•	Manage business operations, promote business decision implementation, oversee progress of strategic projects and push for in-time project execution 
•	Explore new business models and additional business opportunities, identify and analyze potential business partners, provide management team with decision-making and operational support
",HY5-Senior Investment Manager-MBA (Full-time),"•	Passionate about game industry, preferably gamers
•	Ideal candidate would have at least two years of experience in top-tier global investment banking/PE/ institutional investing roles
•	Strong financial skills required, including but not limited to financial modeling, solid understanding of three financial statements and valuation analysis as well as good understanding of full execution process of a deal 
•	Efficient in execution and preparation of high quality analytical output 
•	Fluent in English and Mandarin
•	Passionate and resilient 
",战略与投资
为腾讯游戏在海外发行的主机/PC游戏，制定整体发行和市场策略。根据游戏类型和特点，建设符合市场需求的品牌形象，并为目标区域最终的发行结果负责。,30934-海外主机/PC游戏资深品牌经理,"1、 在主机/PC行业有过5-10年的发行/运营/市场推广经验。熟练掌握游戏市场推广的营销方法，思路清晰，表达流畅。具有很强的开拓性，沟通和资源整合能力强，能够整合内外部平台以及合作伙伴资源，建立和维护良好合作关系；
2、 热爱主机/PC游戏，个人年均体验至少10款主机/PC游戏，其中深度体验1-3款；
3、 了解主机/PC游戏的基本研发流程、运营重点。尤其对市场推广，有独到的见解，和实际的执行经验。同时具备输出全球/海外主机市场策略的能力、以及推进执行的能力；
4、 对全球/海外主机/PC相关市场资源有相当的了解和掌握，包括但不限于媒体、展会、品牌合作、效果广告等方面；
5、 英语或日语能够作为工作语言（英语至少达到熟练的程度），为加分项。",营销与公关
"负责游戏语音客户端应用开发；
负责游戏语音与游戏接入支持；
负责客户端开发前沿技术研究。",25928-高级移动客户端开发工程师（深圳）,"本科及以上学历；
熟悉Windows/Andriod/iOS任一平台下C/C++开发；
具备扎实的C/C++程序开发功底，数据结构，操作系统等基础扎实；
熟悉客户端开发CPU/内存等维度的性能调优；
熟悉网络通信相关功能开发；
有视频会议，IPTV，VOIP等流媒体产品开发经验者优先。",技术
"负责腾讯云物联网智能视频服务的产品规划，针对头部应用场景、客户进行需求分析，结合资源情况，进行有序的产品规划、功能设计、商业定价，对产品的最终市场竞争力负责；
负责协调内外部资源，驱动研发、测试、运营、市场等多个团队共同完成产品业务目标；
负责制定物联视频产品在垂直领域的解决方案，配合其它物联网产品，支撑外部合作伙伴、渠道、销售在垂直领域的推广与落地；
倡导公司价值观，建立开放、信任、合作的团队氛围。
",22989-物联网视频云高级产品经理（深圳）,"具有至少3年以上公有云相关产品的产品策划经验；
熟悉分布式网络、P2P、音视频编解码、视频直播、云存储相关技术；
了解音视频相关智能硬件产业生态，有丰富产业链资源者优先；
熟悉物联网平台、边缘计算、嵌入式操作系统等相关产品与技术，对机器视觉技术有基本了解；
熟悉与物联视频应用的垂直场景、业务需求和技术方案，能够根据行业共通需求和个体差异进行抽象设计；
了解国内外视频云的主要玩家；
执行力强、自我驱动、解决问题能力强，有大型客户项目的售前和销售成功经验优先；
计算机相关专业，有公有云产品、视频云平台、物联网平台及行业应用软件开发工作经历优先；
自信、乐观、善于沟通、团队协作能力突出。
",产品
"负责腾讯计费产品的市场分析、产品竞争力和策略分析； 
根据市场需要，拟定产品发展规划、产品设计、实施路线图； 
跨部门合作确保产品从设计、开发到上线的如期完成；
策划计费产品营销方案并组织、开展，确保达成产品的市场目标。

关于我们：计费主要产品(米大师)。米大师主要为客户提供一站式计费解决方案，聚合国内外主流支付渠道，提供对账结算、付费拉动、付费分析、立体监控等多维度服务，覆盖多类型，多场景，多终端，具备领先行业水平的高支付转化率和高可用性，多级商户管理与分润。",TEG15-腾讯支付产品高级产品经理（深圳）,"本科及以上学历；
至少具备3年以上产品策划工作经验，互联网产品优先；
具备良好的沟通能力，善于挖掘客户需求；具备良好的团队协作能力和合作精神；
有大型互联网产品的策划、运营的经验，有良好的产品思维。
",产品
"了解教育行业的诉求和特性，并能针对教育行业客户需求定制、整理腾讯云解决方案，积极推动方案的实施与交付；
配合产品、研发推进老产品迭代更新，推出并推广新产品；
沉淀教育行业业务，联合客户和合作伙伴推动教育业务云生态建设。",CSIG02-腾讯云教育行业方案架构师（成都）,"计算机相关专业毕业，5年以上工作经验；
精通信息系统、大数据平台等系统架构，有丰富的教育行业架构经验； 
对云计算、大数据、AI和业务场景有清晰的认知和洞察，能够理解客户的业务需求和痛点，并运用技术帮助客户解决问题； 
对计算机网络、计算机系统、互联网系统架构具有良好的理解；
具备优秀的文档能力，良好的沟通表达能力，思维缜密；
积极主动，有很强的责任心，执行力强，团队协作能力强。
具有互联网相关研发、运维背景优先。  通过腾讯云技术认证或同等资格认证的优先录取。",技术
"负责品牌整体的营销增长工作。参与制定营销策略打法，同时跟进重点营销活动的上线效果，从增长维度快速推进活动的迭代和效率提升；
独立负责一个核心业务的营销推广工作，拉动用户增长；
推动营销增长模式的创新和尝试，基于行业案例及项目实验效果复盘，迭代并输出营销增长方法论
",17467-QQ浏览器营销增长经理（深圳）,"3年以上互联网产品运营、市场营销工作经验；
有用户增长、营销增长等相关经历，并有成功案例者优先；
能准确捕捉大众情绪点、挖掘用户需求，同时深刻理解互联网媒介及渠道，结合业务重点策划有传播力的市场活动，并有效落地执行；
对数据高度敏感，有很强的策略思考力，具备优秀的模式创新和迭代优化能力；
有良好的沟通能力和团队合作精神，善于驱动跨部门配合协同取得业绩；
具有创新精神。有很强的自驱力和责任心，学习能力强，有良好的抗压能力。",营销与公关
"负责游戏引擎，移动终端关键技术攻关工作；
负责引擎功能效果开发、性能优化、兼容性问题等相关开发工作；
引擎需求的技术可行性评估, 程序框架及技术方案的设计和具体实现；
协助美术和策划建立高效的游戏内容制作流程, 完善并持续优化工具链。",15573-MMORPG手游引擎开发高级工程师（上海）,"本科及以上学历，5年以上游戏客户端研发经验；
至少参与过一款3D游戏项目, 对游戏研发技术领域有系统的了解和关注；
系统全面了解软件相关知识结构(操作系统、软件工程、设计模式、数据结构), 精通C/C++、Java、C#其中的至少一种编程语言；
具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力；
在框架设计、渲染、动画, 物理、AI等其中某一技术领域有丰富的经验；
有Unity3d, UnrealEngine, CryEngine等商业引擎实践经验, 并了解其核心技术实现原理；
有UnrealEngien相关开发经验者优先；
出色的学习和技术研究应用的能力, 良好的团队协作能力, 善于沟通, 敬业专注；",技术
"（1）根据市场趋势和热点，策划和定义智能AI硬件产品；
（2）与设计、开发、市场等团队协作达成体验目标和产品交付及生命周期管理；
（3）负责腾讯内部和外部IP形象的机器人合作产品的策划和产品体验及交付管理；
（4）负责机器人生态应用产品策划和实施交付，包含但不限于酒店、金融、教育、服务等领域；
（5）拓展和管理机器人生态应用产品合作伙伴，深入挖掘潜在需求，形成机器人生态平台产品和创新形态解决方案框架系列；
（6）分析同行业竞品解决方案及产品，推动产品及解决方案的持续更新和优化。",PCG14-腾讯态客机器人生态产品经理（深圳）,"（1）本科及以上学历，5年以上工作经验；
（2）智能硬件产品、生态应用合作或互联网开放平台等相关领域工作经验；
（3）对大数据、人工智能等前沿技术有深刻认识，具有较强逻辑思维能力、问题分析和创新解决能力；
（4）熟悉产品设计与开发流程，善于分析客户需求背后的本质，具备优秀的项目管理能力，能保证项目的高效执行；
（5）有很强的抗压力及自驱力和责任心，学习能力强，适应性强、具备良好的文档和PPT策划和撰写能力，良好跨部门沟通和语言表达能力；
（6）加分项： 有toB行业咨询/售前工作经验；对多领域传统行业有深刻的理解；智能家居和生活服务等相关经验；能适应频繁短期出差，具有快速切换工作场景的能力。",产品
"独立负责中大型项目的系统分析、设计，并主导完成详细设计和编码，确保项目的进度和质量；
主导技术难题攻关，持续提升核心系统的高处理性能；
负责团队的Code Review，确保相关代码的有效性和正确性，并通过Code Review提供相关性能以及稳定性的建议；
理解业务，识别需求，参与架构、系统、分析设计等多领域项目的相关技术的实践、应用和研发。
",33370-车联网云平台后台开发工程师（北京）,"计算机、通信、信息相关专业本科以上学历，3年以上服务器端研发经验，有过大中型项目的核心模块架构和开发经验；
编程基本功扎实，熟悉常用数据结构和算法，擅长Java/Go编程语言，能编写高质量简洁清晰的代码；
熟悉TCP/IP、HTTP协议相关知识，熟悉Unix/Linux环境和系统编程，深入掌握服务器编程模型；
熟悉MySQL数据库及主流NoSQL数据库；
有较好的逻辑思维能力，较强的抽象、概括、总结能力；
有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题，对待技术有强烈兴趣；
热爱技术，工作认真、严谨，具备较强的学习能力和责任心，能自我激励，善于沟通与团队协作；
有车辆网、出行经验的优先。
",技术
"负责创新项目相关内容产品图文内容理解和生产等，包括但不限于：文章分类和Tag抽取、质量分级、自动纠错、自动摘要、知识图谱、情感分析、自动撰稿等；
跟踪业界最新研究成果，根据实际应用效果不断改进模型或算法，以及将前沿NLP技术/成果应用于内容推荐系统及其他文本相关场景中",PCG22-创新项目自然语言处理研究员（深圳）,"具备创新思维和创业精神，对技术有激情；
熟练掌握nlp基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱构建、篇章理解、情感分析、自然语言生成等）能够独立开展研发工作；
精通TensorFlow/Pytorch/MXNet等至少其中一种深度学习框架，对深度学习模型有深刻理解，并有相关实践经验；
具有良好的工程实现能力，熟悉linux开发环境，熟练掌握C/C++、Java、python等至少一种编程语言
有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题；良好的沟通能力与团队协作能力；
有推荐系统、社交网络图挖掘、大数据挖掘、强化学习、计算机视觉、多模态内容理解等方向经验者优先",技术
"负责游戏中的3D角色模型、贴图制作；
负责外包资源的审核修改及外包团队的培养；
负责技术和风格文档的梳理和沉淀。",18302-动作类手游资深3D角色设计师（深圳）,"美术相关专业毕业，大专以上学历，美术功底扎实、富有想象力和创造力；
5年以上3D游戏角色相关工作经验；
熟练使用3DS Max或Maya、Zbrush、Photoshop，Unity，ue4等相关制作软件，熟悉PBR制作流程；
熟练制作低多边形角色和高模角色，对质感和形体结构有深入的理解和手绘贴图功底；
较强的学习能力，能不断提高游戏美术表现力；
良好的沟通能力，积极主动解决问题，并能承受较强的工作压力，有较强的团队合作意识；
熟悉主流游戏美术风格，持续关注并了解业界动态，对游戏行业有热情；
注： 简历请附上作品或者作品链接。
",设计
"1. 负责王者荣耀职业电竞赛事的宣发工作，包括但不限于制定赛事的整体宣发策略及内容话题运营计划，从焦点赛事的主题设定到衍生内容的分发落地等，保证赛事前中后期的内容期待和讨论贯穿；
2. 负责赛事宣发体系的建设，包括但不限于优化生态产出机制、社区分发策略制定、资源优先级策略等等，沟通各相关模块团队，使赛事内容产出质量提升、宣发资源利用率提升；
3. 负责全赛期的话题及重点规划，协同赛事直播制作、赛事社区、KOL、媒体生态，根据赛前赛中赛后时间，落实对应话题分拆产出，提升赛事话题性及社区讨论度；
4. 需敏锐捕捉赛事热点，洞察用户及社区话题，及时整合团队资源，助推热点发酵，提升赛事热度。",21482-王者荣耀职业联赛高级宣发经理,"1. 有电竞/游戏/文化内容等行业的从业经验优先，例如游戏/电竞运营推广、体育赛事/影视剧及综艺节目宣发等
2. 具有较强的创意及策划应变能力，能把握快速变化的内容热点
3. 优秀的用户洞察力、分析判断能力、逻辑表达能力
4. 沟通能力强，善于完成多部门协作工作内容
5. 对赛事及游戏有较深理解者优先
",营销与公关
"负责海量互联网服务基础架构监控系统、网络自动化管理工具研发；
负责全局负载均衡、流量调度以及网络质量监控系统研发；
负责Linux下C/C++方面服务器端软件、运营平台研发。",TEG02-网络管控系统后台开发工程师（深圳）,"两年以上linux服务器端软件开发经验,拥有良好的软件工程意识；
熟悉linux/UNIX等操作系统,熟练使用Unix类系统下的C/C++进行编程,了解Shell；
熟悉MYSQL数据库,熟练掌握SQL语法；
有网络协议、网络管控软件、大型分布式系统开发、海量数据分析经验者优先；
拥有较强的发现问题、分析问题、解决问题的能力,具有团队精神与服务意识。",技术
"1. 负责腾讯手游助手产品内嵌页和官网等开发和维护；
2. 负责玩家营地产品内嵌页的开发和维护；",PCG14-腾讯手游助手前端开发工程师（深圳）,"本科及以上学历，计算机相关专业，3年及以上相关工作经验； 
精通javascript(es6、es7)、HTML语法，有一定的跨浏览器开发调试经验； 
熟悉http协议，具备web性能优化经验和web安全知识，能独立完成html、css的页面制作、具备良好的css功底； 
熟悉Node.js后端Server研发，具有服务高并发、性能分析调优、后端服务架构经验者优先； 
具有成功的互联网应用软件开发经历优先，对服务端开发(cgi、asp、net、php、jsp)熟悉并具有linux等相关平台下开发经验者优先； 
具备良好的责任心与工作激情，团队合作能力强。",技术
"重点负责云服务器CVM的产品设计、产品落地，面向全行业，负责云服务器特性策划、前瞻性技术预研、竞品分析，关注市场和趋势，寻找新的增长点；
深入洞察各行业客户需求，并通过专业知识和技能，长短期策略进行解决方案的转化，产品的落地；
负责用户的口碑、用户体验、定价和成本等工作；
支持产品销售过程，提供销售素材和部分售前支撑，对产品规模增长负责； ",22989-腾讯云云服务器高级产品经理（深圳）,"本科以上学历，3年以上产品策划或研发等相关互联网经验；
有产品设计和商业化包装能力，对云服务器等底层技术体系有基础认识，有相关的行业产品经理、云产品经理，技术产品经理、系统架构师的经验优先；
熟悉云计算相关产品，对行业动态变化敏感度高，希望在云的领域有深入发展；
执行能力强，具备较强的团队协作和沟通能力，思维活跃，学习能力、适应能力强  通过腾讯云技术认证或同等资格认证的优先录取。",产品
负责企业邮箱反垃圾邮件、业务安全类后台开发工作。,WXG10-113 企业邮箱安全后台开发工程师(广州),"计算机关专业，本科及以上学历；
至少1年以上Linux服务器端软件开发经验； 
熟悉C/C++开发语言、常用算法和数据结构；
熟悉TCP/UDP协议网络编程、熟悉shell或python脚本；
有海量服务、高并发、分布式系统设计开发经验者优先；",技术
"主要负责腾讯云国际业务相关产品服务策划，针对国际业务包装对应产品解决方案。
具体工作内容如下：
1.行业分析：针对海外互联网业务当前的现状进行深度分析，确认腾讯产品和技术和其中的结合点；
2.策略制定：通过海外行业分析能够制定业务打法和策略，输出执行计划；
3.官网策划：搭建针对海外多语言的官网，让海外客户能够更快了解腾讯业务和快速接入；
4.行业方案策划：深耕海外行业，针对诸如游戏出海、海外合作进行需求分析、客户调研，产品策划包装行业解决方案进行腾讯技术赋能；",25663-腾讯云国际业务产品策划经理（深圳）,"1.本科及以上学历；
2.对海外业务如游戏出海、海外互联网产品感兴趣和有自己分析见解；
3.5年以上产品策划经验；
4.有优秀的产品聚焦和产品策划能力；
5.熟悉腾讯内部各大产品线；
6.积极心态，抗压能力强；
有2B经验或海外产品相关项目经验最佳。  通过腾讯云技术认证或同等资格认证的优先录取。",产品
"主要负责腾讯云国际业务的本地化相关工作。
1.负责本地化结算的前端架构与业务开发；
2.负责内部工具、运营系统建设，追求更高研发效率；
3.负责对新技术的预研、落地。",25663-腾讯云国际化业务web前端开发（深圳）,"1. 本科及以上学历，计算机相关专业，5 年以上 Web 前端开发经验；
2. 熟悉 HTTP 基本原理，能熟练运用 HTML、CSS、JavaScript 构建高性能的 Web 应用程序；
3. 熟悉原生 JavaScript，熟悉 jQuery，React、Vue 等框架及类库；
4. 有使用 grunt、gulp、webpack 等工具进行前端工程化经验；
5. 工作积极主动，具有良好的逻辑思维及语言表达能沟通力和团队协作精神。  通过腾讯云技术认证或同等资格认证的优先录取。",技术
"负责腾讯视频会员品牌推广包含营销活动策划，统筹项目，品牌合作等全年传播；
负责品牌合作的拓展和谈判，规划全年品牌传播策略及规划。",29925-腾讯视频会员整合营销项目经理,"有较为丰富的市场推广、市场合作经验，有市场创新思维；
较好的项目管理能力，有大项目管理经验者优先；
学习能力强，较好的语言表达能力和沟通能力，抗压性强，具有团队合作精神；",营销与公关
"1.负责中国医师之家平台医生的运营推广，拉动医生注册并成为会员；
2.负责与各医师专科分会、各省医师分会、医疗机构联动合作，了解协会和分会需求，调研医师对服务的需求，并制定运营推广计划，拉动医生注册；
3.负责拓展行业资源，组织线上线下活动，提升医师在中国医师之家的活跃；
4.负责相关的BD工作及客情关系维护。",21882-医生端运营推广高级经理(北京）,"1.医疗行业运营或市场推广背景，工作经验5年以上；
2.在知名药企从事区域市场营销工作者优先考虑；
3.有较强的行业人脉资源，了解医生诉求、机构诉求；
4.有开拓精神，良好的沟通技巧，适应出差。",营销与公关
"负责后台服务全流程质量保障，负责和产品开发等人员密切合作发布高质量产品；
后台服务的接口自动化测试以及自动化监控用例建设；
后台并发/性能测试建设以及对应的工具建设,掘能提升服务质量的工具需求，并能独立完成工具架构和模块设计、编码、测试、文档编写、使用推广等工作；
后台服务进行代码审查，单元测试等白盒测试方法挖掘底层问题。
",PCG04-腾讯视频后台测试开发工程师（深圳）,"计算机相关专业，本科及以上学历，三年以上开发或测试开发工作经验；
具备扎实的计算机基础，精通常用算法和设计模式；
具备丰富的服务端开发及性能调优经验；
熟悉多种互联网协议，具有通信协议实现经验；
具有较强的问题定位和分析能力；
具备创新性思维、较强的抗压能力和良好的沟通能力；
有丰富单元测试经验，有测试驱动开发经验者优先。",技术
1. 负责相机拍摄场景种人脸人体相关算法技术转化与落地，具体包括：背景建模，人体关键点、手势关键点定位，人体动作行为分析等。,20503-基础人脸人体技术高级研究员（上海）,"1. 计算机相关专业，硕士及以上学历，熟悉图像处理、模式识别方面的理论和算法；
2. 对人体检测、人体跟踪、人体行为分析、人体关键点定位、手势关键点定位等技术有深入的研究基础；
3. 对机器学习、深度学习有较深理解和应用，能独立开展研发工作；
4. 极佳的工程实现能力，精通C/C++、Matlab、Python等至少一门语言；
5.有较强的研究能力优先，如在领域顶级会议如CVPR，ICCV，ECCV，NIPS等发表过高质量论文；
6. 思维活跃，能快速学习新知识，对技术研发富有激情；
7. 有相机拍摄场景相关的人脸、人体、手势等实际研发项目经验者优先。",技术
"• Don’t like something? Say something! Take the initiative and guide the team to drive business results from a content and user experience perspective. 

• Lead cross-team collaboration efforts throughout the creative process. Create and optimize team workflows.

• Be responsible for the voice, tones and quality of the content on the company’s owned media.  Maintain copy guidelines to ensure a consistent language, tone, and voice.

• Lead the team to create, edit, proof-read and publish content across a variety of platforms and languages.  Aware and comply with regulators’ requirement for information disclosure.  Give crisp copy for banners, site navigation, inline instructions, product description, and more. 

• Take ownership of the strategy and execution for the company’s social media presence across owned and third-party platforms.

• Manage the team’s resources and scalability, including outsourcing, external cooperation, content management tools and user generated content.",TZ-Director of Global Communications - Corporate Affairs ,"Skills

• We’re looking for someone who thrives in the face of a challenge. Someone who can jump over language and cultural barriers and come out stronger.

• Think creatively – both in terms of content and problem solving. Think what will make the copy pop. Take the uncommon approach when solving a problem. 

• Ability to harmonize copy with design – must be able to work effectively with cross-functional partners and business leaders.

• Take ownership of projects. Strong project coordination skills and the ability to work under tight deadlines.

• Ability to ride along with project changes and adapt to a fast-paced work environment.

Qualifications 

• 5 years or more of full-time content management experience. E-commerce or agency experience preferred.

• Team management experience.

• A portfolio showing high-quality content deliverables.   

• Related degree preferred but not required. 

• Fluent in Mandarin, Cantonese and English.  ",财务
